nohup: ignoring input
Data loaded | train: 200 | val: 40 | split: splitdefault
Trials complétés : 0 / 40 — restants : 40
Epoch 7/300 | train: 0.073332 | val: 0.068244 | lr: 1.14e-05 ✓ best
Epoch 8/300 | train: 0.063806 | val: 0.059489 | lr: 1.14e-05 ✓ best
Epoch 9/300 | train: 0.055959 | val: 0.052124 | lr: 1.14e-05 ✓ best
Epoch 10/300 | train: 0.049402 | val: 0.046092 | lr: 1.14e-05 ✓ best
Epoch 11/300 | train: 0.043826 | val: 0.040776 | lr: 1.14e-05 ✓ best
Epoch 12/300 | train: 0.039040 | val: 0.036119 | lr: 1.14e-05 ✓ best
Epoch 13/300 | train: 0.034807 | val: 0.032156 | lr: 1.14e-05 ✓ best
Epoch 14/300 | train: 0.031141 | val: 0.028658 | lr: 1.14e-05 ✓ best
Epoch 15/300 | train: 0.027875 | val: 0.025579 | lr: 1.14e-05 ✓ best
Epoch 16/300 | train: 0.024860 | val: 0.022766 | lr: 1.14e-05 ✓ best
Epoch 17/300 | train: 0.022220 | val: 0.020288 | lr: 1.14e-05 ✓ best
Epoch 18/300 | train: 0.019843 | val: 0.018036 | lr: 1.14e-05 ✓ best
Epoch 19/300 | train: 0.017781 | val: 0.016306 | lr: 1.14e-05 ✓ best
Epoch 20/300 | train: 0.016007 | val: 0.014456 | lr: 1.14e-05 ✓ best
Epoch 21/300 | train: 0.014495 | val: 0.013014 | lr: 1.14e-05 ✓ best
Epoch 22/300 | train: 0.013029 | val: 0.011568 | lr: 1.14e-05 ✓ best
Epoch 23/300 | train: 0.011646 | val: 0.010287 | lr: 1.14e-05 ✓ best
Epoch 24/300 | train: 0.010337 | val: 0.008959 | lr: 1.14e-05 ✓ best
Epoch 25/300 | train: 0.009174 | val: 0.007859 | lr: 1.14e-05 ✓ best
Epoch 26/300 | train: 0.008149 | val: 0.007007 | lr: 1.14e-05 ✓ best
Epoch 27/300 | train: 0.007315 | val: 0.006238 | lr: 1.14e-05 ✓ best
Epoch 28/300 | train: 0.006650 | val: 0.005732 | lr: 1.14e-05 ✓ best
Epoch 29/300 | train: 0.005969 | val: 0.004865 | lr: 1.14e-05 ✓ best
Epoch 30/300 | train: 0.005381 | val: 0.004383 | lr: 1.14e-05 ✓ best
Epoch 31/300 | train: 0.004946 | val: 0.004007 | lr: 1.14e-05 ✓ best
Epoch 32/300 | train: 0.004599 | val: 0.003791 | lr: 1.14e-05 ✓ best
Epoch 33/300 | train: 0.004229 | val: 0.003470 | lr: 1.14e-05 ✓ best
Epoch 34/300 | train: 0.003886 | val: 0.003098 | lr: 1.14e-05 ✓ best
Epoch 35/300 | train: 0.003614 | val: 0.002998 | lr: 1.14e-05 ✓ best
Epoch 36/300 | train: 0.003368 | val: 0.002759 | lr: 1.14e-05 ✓ best
Epoch 37/300 | train: 0.003174 | val: 0.002631 | lr: 1.14e-05 ✓ best
Epoch 38/300 | train: 0.003043 | val: 0.002309 | lr: 1.14e-05 ✓ best
Epoch 39/300 | train: 0.002834 | val: 0.002146 | lr: 1.14e-05 ✓ best
Epoch 40/300 | train: 0.002658 | val: 0.002064 | lr: 1.14e-05 ✓ best
Epoch 41/300 | train: 0.002512 | val: 0.002021 | lr: 1.14e-05 ✓ best
Epoch 42/300 | train: 0.002393 | val: 0.002016 | lr: 1.14e-05 ✓ best
